Year,Bottom10_income_share,Bottom50_income_share,Top10_income_share,Top1_income_share,Country Code
2013,0.0016,0.1082,0.518,0.1582,CMR
2014,0.0015,0.1063,0.5205000000000001,0.1585,CMR
2015,0.0016,0.1088,0.5141,0.1548,CMR
2016,0.0016,0.1113,0.5078,0.1511,CMR
2017,0.0017,0.1138,0.5014000000000001,0.1474,CMR
2018,0.0017,0.1162,0.4951,0.1438,CMR
2019,0.0017,0.1187,0.4887,0.1401,CMR
2020,0.0018,0.1212,0.4823,0.1364,CMR
2021,0.0018,0.1237,0.476,0.1327,CMR
2022,0.0018,0.1237,0.476,0.1327,CMR
2023,0.0018,0.1237,0.476,0.1327,CMR
2024,0.0018,0.1237,0.476,0.1327,CMR
1970,0.0158,0.254,0.267,0.05,CHN
1978,0.0033,0.2473,0.2798,0.0654,CHN
1979,0.0032,0.2466,0.2798,0.0656,CHN
1980,0.0032,0.2454,0.2805,0.0661,CHN
1981,0.0032,0.2427,0.2847,0.069,CHN
1982,0.0031,0.2376,0.2887,0.0713,CHN
1983,0.0031,0.2402,0.2896,0.0731,CHN
1984,0.0031,0.2375,0.2945,0.0765,CHN
1985,0.0031,0.2342,0.3031,0.0822,CHN
1986,0.0028,0.2213,0.3054,0.0815,CHN
1987,0.0028,0.2169,0.3037,0.0804,CHN
1988,0.0027,0.215,0.3071,0.0817,CHN
1989,0.0027,0.2089,0.3126,0.0837,CHN
1990,0.0027,0.2109,0.31,0.0825,CHN
1991,0.0025,0.1992,0.3164,0.0846,CHN
1992,0.0024,0.1906,0.3284,0.0889,CHN
1993,0.0023,0.1817,0.3403,0.0933,CHN
1994,0.0022,0.178,0.3446,0.0958,CHN
1995,0.0023,0.1817,0.3403,0.0942,CHN
1996,0.0023,0.1873,0.3405,0.0969,CHN
1997,0.0023,0.1876,0.3406,0.0969,CHN
1998,0.0024,0.1882,0.3439,0.0998,CHN
1999,0.0023,0.1818,0.3493,0.1006,CHN
2000,0.0021,0.1707,0.36,0.105,CHN
2001,0.002,0.1652,0.3675,0.11,CHN
2002,0.0019,0.153,0.398,0.1269,CHN
2003,0.0018,0.1489,0.4063,0.1327,CHN
2004,0.0018,0.1489,0.4134,0.1397,CHN
2005,0.0017,0.1417,0.4228,0.1434,CHN
2006,0.0017,0.1416,0.4248,0.1491,CHN
2007,0.0017,0.1401,0.4281,0.1542,CHN
2008,0.0017,0.1397,0.4281,0.1533,CHN
2009,0.0017,0.139,0.4274,0.1556,CHN
2010,0.0016,0.136,0.4295,0.1524,CHN
2011,0.0017,0.1385,0.4323,0.1471,CHN
2012,0.0017,0.1429,0.4181,0.1387,CHN
2013,0.0017,0.1379,0.4247,0.1393,CHN
2014,0.0017,0.1414,0.4168,0.1378,CHN
2015,0.0017,0.1412,0.4178,0.1404,CHN
2016,0.0017,0.1411,0.418,0.1405,CHN
2017,0.0017,0.1386,0.4283,0.1516,CHN
2018,0.0017,0.1393,0.4253,0.1485,CHN
2019,0.0017,0.1398,0.4236,0.1466,CHN
2020,0.0017,0.1377,0.432,0.1556,CHN
2021,0.0017,0.1374,0.4335,0.1572,CHN
2022,0.0016,0.1351,0.4346,0.1576,CHN
2023,0.0016,0.1351,0.4346,0.1576,CHN
2024,0.0016,0.1351,0.4346,0.1576,CHN
1970,0.0069,0.1207,0.534,0.2031,COL
1980,0.0,0.0635,0.6397,0.2883,COL
1981,0.0,0.0635,0.6397,0.2883,COL
1982,0.0,0.0635,0.6397,0.2883,COL
1983,0.0,0.0635,0.6397,0.2883,COL
1984,0.0,0.0635,0.6397,0.2883,COL
1985,0.0,0.0635,0.6397,0.2883,COL
1986,0.0,0.0635,0.6397,0.2883,COL
1987,0.0,0.0635,0.6397,0.2883,COL
1988,0.0,0.0635,0.6397,0.2883,COL
1989,0.0,0.0635,0.6397,0.2883,COL
1990,0.0,0.0635,0.6397,0.2883,COL
1991,0.0,0.0635,0.6397,0.2883,COL
1992,0.0,0.0635,0.6397,0.2883,COL
1993,0.0,0.0635,0.6397,0.2883,COL
1994,0.0,0.0635,0.6397,0.2883,COL
1995,0.0,0.0635,0.6397,0.2883,COL
1996,0.0,0.0635,0.6397,0.2883,COL
1997,0.0,0.0635,0.6397,0.2883,COL
1998,0.0,0.0635,0.6397,0.2883,COL
1999,0.0,0.0635,0.6397,0.2883,COL
2000,0.0,0.0635,0.6397,0.2883,COL
2001,0.0,0.0635,0.6397,0.2883,COL
2002,0.0,0.0635,0.6397,0.2883,COL
2003,0.0,0.0751,0.6011000000000001,0.2385,COL
2004,0.0,0.0716,0.6224000000000001,0.2583,COL
2005,0.0,0.0776,0.6111,0.2486,COL
2006,0.0,0.0759,0.613,0.2565,COL
2007,0.0,0.0742,0.6149,0.2646,COL
2008,0.0,0.0724,0.6168,0.2727,COL
2009,0.0,0.0776,0.6058,0.2611,COL
2010,0.0,0.0774,0.6007,0.2648,COL
2011,0.0,0.079,0.6056,0.2759,COL
2012,0.0,0.086,0.5825,0.241,COL
2013,0.0,0.0856,0.5870000000000001,0.2435,COL
2014,0.0,0.0937,0.5595,0.2445,COL
2015,0.0,0.0944,0.5626,0.219,COL
2016,0.0,0.095,0.5670000000000001,0.2274,COL
2017,0.0,0.0841,0.5897,0.2238,COL
2018,0.0,0.0807,0.596,0.227,COL
2019,0.0,0.0762,0.5969,0.2244,COL
2020,0.0,0.0561,0.6122000000000001,0.2066,COL
2021,0.0,0.0636,0.6092000000000001,0.2091,COL
2022,0.0,0.0584,0.6331,0.2696,COL
2023,0.0,0.0661,0.5994,0.2245,COL
2024,0.0,0.0661,0.5994,0.2245,COL
1980,0.0,0.0971,0.5177,0.2015,CRI
1981,0.0,0.0971,0.5177,0.2015,CRI
1982,0.0,0.0971,0.5177,0.2015,CRI
1983,0.0,0.0971,0.5177,0.2015,CRI
1984,0.0,0.0971,0.5177,0.2015,CRI
1985,0.0,0.0971,0.5177,0.2015,CRI
1986,0.0,0.0971,0.5177,0.2015,CRI
1987,0.0,0.0971,0.5177,0.2015,CRI
1988,0.0,0.0971,0.5177,0.2015,CRI
1989,0.0,0.0971,0.5177,0.2015,CRI
1990,0.0,0.0971,0.5177,0.2015,CRI
1991,0.0,0.0971,0.5177,0.2015,CRI
1992,0.0,0.0971,0.5177,0.2015,CRI
1993,0.0,0.0971,0.5177,0.2015,CRI
1994,0.0,0.0971,0.5177,0.2015,CRI
1995,0.0,0.0971,0.5177,0.2015,CRI
1996,0.0,0.0971,0.5177,0.2015,CRI
1997,0.0,0.0971,0.5177,0.2015,CRI
1998,0.0,0.0971,0.5177,0.2015,CRI
1999,0.0,0.0971,0.5177,0.2015,CRI
2000,0.0,0.0971,0.5177,0.2015,CRI
2001,0.0,0.0971,0.5177,0.2015,CRI
2002,0.0,0.0971,0.5177,0.2015,CRI
2003,0.0,0.0971,0.5177,0.2015,CRI
2004,0.0,0.0971,0.5177,0.2015,CRI
2005,0.0,0.0971,0.5177,0.2015,CRI
2006,0.0,0.0971,0.5177,0.2015,CRI
2007,0.0,0.0971,0.5177,0.2015,CRI
2008,0.0,0.0971,0.5177,0.2015,CRI
2009,0.0,0.0971,0.5177,0.2015,CRI
2010,0.0,0.0971,0.5177,0.2015,CRI
2011,0.0,0.0945,0.5204,0.203,CRI
2012,0.0,0.0935,0.5132,0.1833,CRI
2013,0.0,0.0835,0.528,0.1778,CRI
2014,0.0,0.0846,0.5265000000000001,0.1853,CRI
2015,0.0,0.0832,0.5342,0.1968,CRI
2016,0.0,0.0815,0.5479,0.1975,CRI
2017,0.0,0.0836,0.5266000000000001,0.1874,CRI
2018,0.0,0.0826,0.5231,0.2143,CRI
2019,0.0,0.0747,0.5516,0.2268,CRI
2020,0.0,0.0507,0.5608000000000001,0.2151,CRI
2021,0.0,0.0676,0.5766,0.2615,CRI
2022,0.0,0.0862,0.4953,0.2032,CRI
2023,0.0,0.0892,0.4974,0.1814,CRI
2024,0.0,0.0892,0.4974,0.1814,CRI
1980,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1981,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1982,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1983,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1984,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1985,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1986,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1987,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1988,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1989,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1990,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1991,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1992,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1993,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1994,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1995,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1996,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1997,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1998,0.0004,0.1023,0.5114000000000001,0.1891,CUB
1999,0.0004,0.1023,0.5114000000000001,0.1891,CUB
2000,0.0004,0.1023,0.5114000000000001,0.1891,CUB
2001,0.0004,0.0965,0.5218,0.1985,CUB
2002,0.0001,0.0969,0.5215000000000001,0.1976,CUB
2003,0.0,0.1045,0.514,0.2058,CUB
2004,0.0003,0.1085,0.5053,0.2019,CUB
2005,0.0004,0.1131,0.489,0.1788,CUB
2006,0.0006,0.1185,0.4749,0.1695,CUB
2007,0.0008,0.1121,0.5048,0.2007,CUB
2008,0.0011,0.1212,0.4699,0.1852,CUB
2009,0.0012,0.1213,0.4608,0.1684,CUB
2010,0.0016,0.1246,0.4672,0.1711,CUB
2011,0.0016,0.1352,0.4326,0.1573,CUB
2012,0.0015,0.1365,0.4288,0.1484,CUB
2013,0.0018,0.1417,0.4299,0.1593,CUB
2014,0.0018,0.1421,0.4289,0.1592,CUB
2015,0.0015,0.1425,0.4258,0.1556,CUB
2016,0.0013,0.1415,0.4231,0.1606,CUB
2017,0.0011,0.1395,0.4318,0.1565,CUB
2018,0.001,0.137,0.44,0.1617,CUB
2019,0.0008,0.1332,0.4419,0.1632,CUB
2020,0.0003,0.1194,0.4564,0.1814,CUB
2021,0.0005,0.1253,0.454,0.1786,CUB
2022,0.0006,0.1308,0.4439,0.1522,CUB
2023,0.0005,0.1263,0.4557,0.1909,CUB
2024,0.0005,0.1263,0.4557,0.1909,CUB
1980,0.0013,0.0867,0.6086,0.232,CPV
1981,0.0013,0.0867,0.6086,0.232,CPV
1982,0.0013,0.0867,0.6086,0.232,CPV
1983,0.0013,0.0867,0.6086,0.232,CPV
1984,0.0013,0.0867,0.6086,0.232,CPV
1985,0.0013,0.0867,0.6086,0.232,CPV
1986,0.0013,0.0867,0.6086,0.232,CPV
1987,0.0013,0.0867,0.6086,0.232,CPV
1988,0.0013,0.0867,0.6086,0.232,CPV
1989,0.0013,0.0867,0.6086,0.232,CPV
1990,0.0013,0.0867,0.6086,0.232,CPV
1991,0.0013,0.0867,0.6086,0.232,CPV
1992,0.0013,0.0867,0.6086,0.232,CPV
1993,0.0013,0.0867,0.6086,0.232,CPV
1994,0.0013,0.0867,0.6086,0.232,CPV
1995,0.0013,0.0867,0.6086,0.232,CPV
1996,0.0013,0.0867,0.6086,0.232,CPV
1997,0.0013,0.0867,0.6086,0.232,CPV
1998,0.0013,0.0867,0.6086,0.232,CPV
1999,0.0013,0.0867,0.6086,0.232,CPV
2000,0.0013,0.0867,0.6086,0.232,CPV
2001,0.0013,0.0867,0.6086,0.232,CPV
2002,0.0013,0.0898,0.599,0.2255,CPV
2003,0.0014,0.0929,0.5893,0.2191,CPV
2004,0.0014,0.096,0.5796,0.2127,CPV
2005,0.0015,0.0991,0.5699000000000001,0.2063,CPV
2006,0.0015,0.1022,0.5602,0.1999,CPV
2007,0.0016,0.1053,0.5505,0.1935,CPV
2008,0.0016,0.1076,0.5431,0.1867,CPV
2009,0.0017,0.1099,0.5356000000000001,0.1799,CPV
2010,0.0017,0.1122,0.5282,0.1731,CPV
2011,0.0017,0.1145,0.5207,0.1663,CPV
2012,0.0018,0.1168,0.5133,0.1595,CPV
2013,0.0018,0.1191,0.5058,0.1527,CPV
2014,0.0019,0.1215,0.4983,0.1459,CPV
2015,0.0019,0.1238,0.4908,0.1391,CPV
2016,0.0019,0.1238,0.4908,0.1391,CPV
2017,0.0019,0.1238,0.4908,0.1391,CPV
2018,0.0019,0.1238,0.4908,0.1391,CPV
2019,0.0019,0.1238,0.4908,0.1391,CPV
2020,0.0019,0.1238,0.4908,0.1391,CPV
2021,0.0019,0.1238,0.4908,0.1391,CPV
2022,0.0019,0.1238,0.4908,0.1391,CPV
2023,0.0019,0.1238,0.4908,0.1391,CPV
2024,0.0019,0.1238,0.4908,0.1391,CPV
1980,0.0009,0.0819,0.5594,0.2375,CUW
1981,0.0009,0.0816,0.5593,0.2364,CUW
1982,0.0009,0.0813,0.5593,0.2353,CUW
1983,0.0009,0.081,0.5593,0.2342,CUW
1984,0.0009,0.0807,0.5592,0.2331,CUW
1985,0.0009,0.0803,0.5592,0.2319,CUW
1986,0.0009,0.08,0.5592,0.2307,CUW
1987,0.0009,0.0796,0.5591,0.2295,CUW
1988,0.0009,0.0793,0.5591,0.2283,CUW
1989,0.0008,0.0789,0.5591,0.227,CUW
1990,0.0008,0.0785,0.559,0.2258,CUW
1991,0.0008,0.0789,0.558,0.2257,CUW
1992,0.0008,0.0793,0.557,0.2255,CUW
1993,0.0008,0.0797,0.556,0.2254,CUW
1994,0.0008,0.08,0.555,0.2253,CUW
1995,0.0008,0.0804,0.554,0.2252,CUW
1996,0.0008,0.0807,0.5531,0.2251,CUW
1997,0.0008,0.0811,0.5521,0.225,CUW
1998,0.0008,0.0814,0.5512,0.2249,CUW
1999,0.0008,0.0818,0.5503,0.2248,CUW
2000,0.0008,0.0821,0.5494,0.2247,CUW
2001,0.0008,0.0826,0.5477000000000001,0.2231,CUW
2002,0.0008,0.083,0.546,0.2216,CUW
2003,0.0008,0.0835,0.5445,0.2202,CUW
2004,0.0008,0.0839,0.543,0.2189,CUW
2005,0.0008,0.0843,0.5416000000000001,0.2176,CUW
2006,0.0009,0.0846,0.5403,0.2164,CUW
2007,0.0009,0.085,0.539,0.2153,CUW
2008,0.0009,0.0853,0.5378000000000001,0.2142,CUW
2009,0.0009,0.0857,0.5366000000000001,0.2131,CUW
2010,0.0009,0.086,0.5355,0.2121,CUW
2011,0.0009,0.0917,0.5303,0.212,CUW
2012,0.001,0.0974,0.5252,0.212,CUW
2013,0.001,0.103,0.52,0.212,CUW
2014,0.001,0.1086,0.515,0.212,CUW
2015,0.0011,0.1141,0.5099,0.2119,CUW
2016,0.0011,0.1197,0.5049,0.2119,CUW
2017,0.0012,0.1251,0.4999,0.2119,CUW
2018,0.0012,0.1306,0.4950000000000001,0.2118,CUW
2019,0.0012,0.136,0.4901,0.2118,CUW
2020,0.0013,0.1413,0.4852,0.2118,CUW
2021,0.0013,0.1413,0.4852,0.2118,CUW
2022,0.0013,0.1413,0.4852,0.2118,CUW
2023,0.0013,0.1413,0.4852,0.2118,CUW
2024,0.0013,0.1413,0.4852,0.2118,CUW
1980,0.0029,0.1814,0.3731,0.1166,CYP
1981,0.0029,0.1817,0.3722,0.116,CYP
1982,0.0029,0.1819,0.3717,0.1156,CYP
1983,0.0029,0.1822,0.3706,0.115,CYP
1984,0.0029,0.1824,0.3702,0.1146,CYP
1985,0.0029,0.1822,0.3706,0.1149,CYP
1986,0.0029,0.1816,0.3725,0.1162,CYP
1987,0.0029,0.1817,0.3721,0.1159,CYP
1988,0.0029,0.1816,0.3725,0.1162,CYP
1989,0.0029,0.1812,0.3737,0.1169,CYP
1990,0.0029,0.1818,0.3718,0.1157,CYP
1991,0.0029,0.1835,0.3686,0.1141,CYP
1992,0.0029,0.1849,0.3654,0.1118,CYP
1993,0.0029,0.1859,0.3643,0.1119,CYP
1994,0.0029,0.1862,0.3643,0.1124,CYP
1995,0.0029,0.1868,0.3639,0.1138,CYP
1996,0.0029,0.1885,0.3558,0.1081,CYP
1997,0.003,0.1923,0.3451,0.101,CYP
1998,0.0027,0.1753,0.3997,0.1412,CYP
1999,0.003,0.1897,0.3572,0.11,CYP
2000,0.0031,0.1946,0.3451,0.1029,CYP
2001,0.003,0.1902,0.3559,0.1101,CYP
2002,0.003,0.1837,0.3766,0.1246,CYP
2003,0.0031,0.1889,0.3616,0.1137,CYP
2004,0.0033,0.2098,0.3058,0.0739,CYP
2005,0.0034,0.2145,0.3052,0.0783,CYP
2006,0.0033,0.2084,0.3226,0.0955,CYP
2007,0.0035,0.2104,0.3064,0.0778,CYP
2008,0.0032,0.1971,0.3467,0.1057,CYP
2009,0.0031,0.1927,0.3495,0.1001,CYP
2010,0.0033,0.1992,0.3353,0.091,CYP
2011,0.003,0.1816,0.3733,0.1166,CYP
2012,0.0029,0.1792,0.378,0.122,CYP
2013,0.0027,0.1691,0.4222,0.1689,CYP
2014,0.0029,0.1775,0.3765,0.1205,CYP
2015,0.0028,0.1754,0.3751,0.1152,CYP
2016,0.0031,0.1865,0.3608,0.1109,CYP
2017,0.0032,0.1939,0.3538,0.1026,CYP
2018,0.0032,0.1892,0.3723,0.1225,CYP
2019,0.0035,0.2034,0.3369,0.0885,CYP
2020,0.0035,0.2034,0.3369,0.0885,CYP
2021,0.0035,0.2062,0.3364,0.0889,CYP
2022,0.0036,0.2083,0.3324,0.0853,CYP
2023,0.0037,0.2124,0.3261,0.0799,CYP
2024,0.0037,0.2124,0.3261,0.0799,CYP
1980,0.0051,0.3092,0.1817,0.0256,CZE
1981,0.0055,0.3205,0.1795,0.0253,CZE
1982,0.0057,0.3116,0.1809,0.0254,CZE
1983,0.0058,0.3118,0.1804,0.0254,CZE
1984,0.0058,0.3129,0.1799,0.0253,CZE
1985,0.0059,0.3138,0.1793,0.0251,CZE
1986,0.0059,0.3126,0.181,0.0266,CZE
1987,0.0058,0.3103,0.1829,0.0283,CZE
1988,0.0057,0.3088,0.185,0.0298,CZE
1989,0.006,0.3075,0.1974,0.0385,CZE
1990,0.0059,0.3004,0.2097,0.0475,CZE
1991,0.0057,0.2913,0.2366,0.0681,CZE
1992,0.0051,0.2766,0.2643,0.0895,CZE
1993,0.0049,0.2647,0.286,0.1056,CZE
1994,0.0047,0.2522,0.2992,0.1144,CZE
1995,0.0047,0.2535,0.2955,0.1099,CZE
1996,0.0046,0.2497,0.3,0.1111,CZE
1997,0.0047,0.255,0.2895,0.1028,CZE
1998,0.0048,0.2521,0.3038,0.1156,CZE
1999,0.0048,0.253,0.3009,0.1132,CZE
2000,0.0047,0.2528,0.3001,0.1119,CZE
2001,0.0047,0.2523,0.302,0.1137,CZE
2002,0.0049,0.259,0.2937,0.1074,CZE
2003,0.0049,0.2579,0.2943,0.1068,CZE
2004,0.0048,0.2511,0.2988,0.1095,CZE
2005,0.0048,0.252,0.3025,0.1169,CZE
2006,0.0047,0.2462,0.3028,0.1069,CZE
2007,0.0047,0.2486,0.3038,0.1145,CZE
2008,0.0046,0.2417,0.3226,0.1373,CZE
2009,0.0048,0.2544,0.2993,0.1154,CZE
2010,0.0048,0.2504,0.2987,0.1087,CZE
2011,0.005,0.2601,0.2908,0.1039,CZE
2012,0.0049,0.2529,0.304,0.1126,CZE
2013,0.005,0.2608,0.2975,0.1055,CZE
2014,0.0048,0.2503,0.3039,0.1074,CZE
2015,0.0046,0.2451,0.3083,0.1139,CZE
2016,0.0048,0.2536,0.2989,0.1093,CZE
2017,0.0046,0.2513,0.2964,0.1088,CZE
2018,0.0046,0.2534,0.2886,0.1032,CZE
2019,0.0046,0.2532,0.2897,0.1036,CZE
2020,0.0046,0.2532,0.2897,0.1036,CZE
2021,0.0046,0.2531,0.2903,0.1023,CZE
2022,0.0046,0.253,0.2903,0.1035,CZE
2023,0.0046,0.2531,0.2911,0.1012,CZE
2024,0.0046,0.2531,0.2911,0.1012,CZE
1965,0.0134,0.2327,0.3202,0.1109,DEU
1968,0.0136,0.236,0.3102,0.1052,DEU
1970,0.0102,0.2409,0.2971,0.1022,DEU
1971,0.0138,0.2382,0.3035,0.1037,DEU
1974,0.014,0.2415,0.2933,0.0979,DEU
1977,0.0142,0.2438,0.2862,0.096,DEU
1980,0.004,0.2325,0.286,0.0984,DEU
1981,0.004,0.2338,0.2814,0.0942,DEU
1982,0.0041,0.236,0.2804,0.0922,DEU
1983,0.004,0.2342,0.2847,0.094,DEU
1984,0.0041,0.237,0.2849,0.0941,DEU
1985,0.004,0.2359,0.2871,0.0955,DEU
1986,0.004,0.2334,0.2937,0.0997,DEU
1987,0.004,0.2304,0.3015,0.104,DEU
1988,0.0038,0.2239,0.3159,0.1129,DEU
1989,0.0037,0.2177,0.3246,0.118,DEU
1990,0.0037,0.2162,0.3255,0.1145,DEU
1991,0.0038,0.221,0.3149,0.103,DEU
1992,0.0038,0.224,0.3096,0.096,DEU
1993,0.0039,0.2273,0.3043,0.0921,DEU
1994,0.004,0.229,0.2997,0.0892,DEU
1995,0.004,0.2309,0.2979,0.0878,DEU
1996,0.0039,0.2248,0.3064,0.0954,DEU
1997,0.0038,0.2201,0.3154,0.1027,DEU
1998,0.0037,0.2151,0.3217,0.1097,DEU
1999,0.0038,0.2155,0.3213,0.1064,DEU
2000,0.0037,0.2162,0.3229,0.1049,DEU
2001,0.0036,0.2153,0.3239,0.1028,DEU
2002,0.0035,0.2096,0.3241,0.101,DEU
2003,0.0037,0.2149,0.3165,0.0945,DEU
2004,0.0035,0.2105,0.3289,0.1058,DEU
2005,0.0033,0.198,0.3481,0.1209,DEU
2006,0.0033,0.1972,0.3531,0.1269,DEU
2007,0.0031,0.191,0.3691,0.1361,DEU
2008,0.0031,0.1909,0.3676,0.1345,DEU
2009,0.0031,0.1911,0.3725,0.1298,DEU
2010,0.0031,0.1931,0.3669,0.1287,DEU
2011,0.0031,0.1908,0.3679,0.128,DEU
2012,0.0031,0.1897,0.3632,0.1258,DEU
2013,0.0029,0.1827,0.3776,0.131,DEU
2014,0.0028,0.1814,0.3826,0.1326,DEU
2015,0.0029,0.1824,0.3817,0.1326,DEU
2016,0.0029,0.1843,0.3811,0.1325,DEU
2017,0.003,0.1858,0.3781,0.1319,DEU
2018,0.003,0.1885,0.3737,0.13,DEU
2019,0.003,0.188,0.3745,0.1305,DEU
2020,0.003,0.188,0.3745,0.1305,DEU
2021,0.003,0.1882,0.3742,0.1309,DEU
2022,0.003,0.1878,0.3764,0.1328,DEU
2023,0.003,0.1877,0.3765,0.1331,DEU
2024,0.003,0.1877,0.3765,0.1331,DEU
1980,0.0021,0.1347,0.479,0.1541,DJI
1981,0.0021,0.1347,0.479,0.1541,DJI
1982,0.0021,0.1347,0.479,0.1541,DJI
1983,0.0021,0.1347,0.479,0.1541,DJI
1984,0.0021,0.1347,0.479,0.1541,DJI
1985,0.0021,0.1347,0.479,0.1541,DJI
1986,0.0021,0.1347,0.479,0.1541,DJI
1987,0.0021,0.1347,0.479,0.1541,DJI
1988,0.0021,0.1347,0.479,0.1541,DJI
1989,0.0021,0.1347,0.479,0.1541,DJI
1990,0.0021,0.1347,0.479,0.1541,DJI
1991,0.0021,0.1347,0.479,0.1541,DJI
1992,0.0021,0.1347,0.479,0.1541,DJI
1993,0.0021,0.1347,0.479,0.1541,DJI
1994,0.0021,0.1347,0.479,0.1541,DJI
1995,0.0021,0.1347,0.479,0.1541,DJI
1996,0.0021,0.1347,0.479,0.1541,DJI
1997,0.0021,0.1347,0.479,0.1541,DJI
1998,0.0021,0.1347,0.479,0.1541,DJI
1999,0.0021,0.1347,0.479,0.1541,DJI
2000,0.0021,0.1347,0.479,0.1541,DJI
2001,0.0021,0.1347,0.479,0.1541,DJI
2002,0.0021,0.1347,0.479,0.1541,DJI
2003,0.0021,0.1332,0.4828,0.1559,DJI
2004,0.002,0.1317,0.4866,0.1577,DJI
2005,0.002,0.1301,0.4903,0.1594,DJI
2006,0.002,0.1286,0.4941,0.1612,DJI
2007,0.0019,0.1271,0.4979,0.163,DJI
2008,0.0019,0.1256,0.5017,0.1647,DJI
2009,0.0019,0.124,0.5055000000000001,0.1665,DJI
2010,0.0018,0.1225,0.5092,0.1682,DJI
2011,0.0018,0.121,0.513,0.17,DJI
2012,0.0018,0.1195,0.5167,0.1718,DJI
2013,0.0017,0.1204,0.5146000000000001,0.165,DJI
2014,0.0018,0.1231,0.5098,0.1634,DJI
2015,0.0019,0.1257,0.5051,0.1618,DJI
2016,0.0019,0.1283,0.5003000000000001,0.1602,DJI
2017,0.002,0.1309,0.4955,0.1586,DJI
2018,0.002,0.1309,0.4955,0.1586,DJI
2019,0.002,0.1309,0.4955,0.1586,DJI
2020,0.002,0.1309,0.4955,0.1586,DJI
2021,0.002,0.1309,0.4955,0.1586,DJI
2022,0.002,0.1309,0.4955,0.1586,DJI
2023,0.002,0.1309,0.4955,0.1586,DJI
2024,0.002,0.1309,0.4955,0.1586,DJI
1965,0.0141,0.2385,0.3081,0.0899,DNK
1966,0.0143,0.2413,0.3022,0.0854,DNK
1967,0.0145,0.2432,0.299,0.0843,DNK
1968,0.0146,0.2445,0.2975,0.0855,DNK
1970,0.012,0.2356,0.3037,0.0877,DNK
1971,0.0151,0.2506,0.2866,0.0807,DNK
1972,0.0153,0.2523,0.2839,0.0803,DNK
1973,0.0155,0.2547,0.2794,0.0776,DNK
1974,0.0157,0.2567,0.2759,0.0761,DNK
1975,0.0158,0.2586,0.2725,0.0748,DNK
1976,0.016,0.2607,0.2689,0.0732,DNK
1977,0.0162,0.2627,0.2654,0.0717,DNK
1978,0.0164,0.2647,0.2619,0.0703,DNK
1979,0.0165,0.2667,0.2584,0.0688,DNK
1980,0.0043,0.2509,0.261,0.069,DNK
1981,0.0044,0.2464,0.2591,0.0674,DNK
1982,0.0044,0.2472,0.2581,0.0694,DNK
1983,0.0043,0.2461,0.2715,0.0834,DNK
1984,0.0043,0.2465,0.2776,0.091,DNK
1985,0.0043,0.2434,0.2835,0.0966,DNK
1986,0.0044,0.2497,0.2734,0.0869,DNK
1987,0.0041,0.2484,0.2727,0.0853,DNK
1988,0.0042,0.2495,0.2697,0.0805,DNK
1989,0.0042,0.2484,0.2732,0.0837,DNK
1990,0.0041,0.2477,0.2742,0.0839,DNK
1991,0.0043,0.2496,0.2731,0.0835,DNK
1992,0.0043,0.2481,0.2743,0.0843,DNK
1993,0.0043,0.2492,0.2742,0.0843,DNK
1994,0.0043,0.2475,0.2833,0.0938,DNK
1995,0.0044,0.2482,0.2845,0.0952,DNK
1996,0.0043,0.2474,0.2874,0.0979,DNK
1997,0.0043,0.2424,0.2984,0.1066,DNK
1998,0.0043,0.2432,0.2962,0.1047,DNK
1999,0.0042,0.2375,0.3108,0.116,DNK
2000,0.0041,0.2351,0.3139,0.1185,DNK
2001,0.0042,0.242,0.2968,0.1031,DNK
2002,0.0043,0.2437,0.2908,0.0977,DNK
2003,0.0045,0.2519,0.2864,0.0942,DNK
2004,0.0044,0.246,0.2922,0.0996,DNK
2005,0.0043,0.2406,0.3081,0.1121,DNK
2006,0.0043,0.2386,0.3123,0.1169,DNK
2007,0.0043,0.2419,0.3065,0.1115,DNK
2008,0.0041,0.2365,0.3021,0.1058,DNK
2009,0.0042,0.2406,0.2914,0.0969,DNK
2010,0.0041,0.2298,0.3172,0.1164,DNK
2011,0.0041,0.2279,0.3181,0.1169,DNK
2012,0.004,0.2271,0.319,0.1196,DNK
2013,0.0039,0.2213,0.3293,0.1243,DNK
2014,0.0039,0.2189,0.3367,0.1314,DNK
2015,0.0039,0.2195,0.3319,0.1295,DNK
2016,0.0039,0.2181,0.3349,0.1301,DNK
